               id,               time,              pH, temp,      lat,      lon,water_depth,sensor_depth
SF32_2013_2014_EV,2013-11-20 04:00:01,8.02276714451855,-1.14,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-20 08:00:01,8.01843155693343,-1.14,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-20 12:00:01,8.02156281463379,-1.14,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-20 16:00:01,8.01376043961052,-1.15,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-20 20:00:01,8.01559479410279,-1.15,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-21 00:00:01, 8.0158356689351,-1.15,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-21 04:00:01,  8.009294990796,-1.15,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-21 08:00:01,8.01124263392903,-1.14,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-21 12:00:01,8.01678063943112,-1.15,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-21 16:00:01, 8.0115534042373,-1.16,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-21 20:00:01,8.00899633123803,-1.16,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-22 00:00:01,8.01266723844846,-1.15,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-22 04:00:01,8.01205578695103,-1.15,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-22 08:00:01,8.01129610478757,-1.15,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-22 12:00:01,8.01980083925173,-1.15,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-22 16:00:01,8.01098111462223,-1.15,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-22 20:00:01, 8.0160024284344,-1.15,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-23 00:00:01,8.02869467921424,-1.15,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-23 04:00:01,8.01413101627562,-1.15,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-23 08:00:01,8.01062906679038,-1.15,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-23 12:00:01,8.01377896844377,-1.15,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-23 16:00:01,8.01023780870869,-1.16,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-23 20:00:01, 8.0133528052789,-1.15,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-24 00:00:01,8.01911527242128,-1.15,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-24 04:00:01,8.01863352275665,-1.15,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-24 08:00:01,8.00864648163207,-1.15,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-24 12:00:01,8.01628036093323,-1.15,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-24 16:00:01,8.01175128149045, -1.1,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-24 20:00:01, 8.0134206051912,-1.09,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-25 00:00:01,8.00832629978984,-1.09,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-25 04:00:01,8.01377055312563, -1.1,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-25 08:00:01,8.01019729922816,-1.09,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-25 12:00:01,8.01054926941952,-1.09,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-25 16:00:01,8.02451692859269,-1.09,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-25 20:00:01,8.01430979304307,-1.09,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-26 00:00:01,8.01499520867889,-1.09,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-26 04:00:01,8.01921885097528,-1.09,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-26 08:00:01,8.01154960575288,-1.09,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-26 12:00:01,8.01475438696901,-1.09,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-26 16:00:01,8.01808697781368, -1.1,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-26 20:00:01,8.01519898089494,-1.09,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-27 00:00:01,8.02372036447539,-1.09,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-27 04:00:01,8.02047853376544,-1.09,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-27 08:00:01,8.01455061475295,-1.09,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-27 12:00:01,8.01251289259241,-1.09,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-27 16:00:01,8.01423569405541,-1.09,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-27 20:00:01,8.01834633380352, -1.1,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-28 00:00:01,8.01857048483329,-1.09,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-28 04:00:01,8.01742195052462,-1.09,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-28 08:00:01,8.01110501182695,-1.09,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-28 12:00:01,8.01049583780311,-1.08,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-28 16:00:01,8.01425421880233,-1.09,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-28 20:00:01,8.01297806265145,-1.08,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-29 00:00:01, 8.0135502784196,-1.09,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-29 04:00:01,8.04904369350685,-1.09,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-29 08:00:01,8.00712219124043,-1.09,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-29 12:00:01,8.01345562085225, -1.1,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-29 16:00:01,8.00824997562761, -1.1,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-29 20:00:01,8.01130667122215, -1.1,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-30 00:00:01,8.01167717977906, -1.1,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-30 04:00:01,8.01562505007396,-1.09,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-30 08:00:01,8.01021582397507,-1.09,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-30 12:00:01,8.01025072183494, -1.1,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-30 16:00:01,8.00758306022516, -1.1,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-11-30 20:00:01,8.01479143646283,-1.09,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-01 00:00:01, 8.0076386365087, -1.1,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-01 04:00:01,8.02077316485131, -1.1,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-01 08:00:01,8.00813882306053, -1.1,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-01 12:00:01,8.00556378858998, -1.1,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-01 16:00:01,8.00443373749139, -1.1,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-01 20:00:01,8.00943560300973, -1.1,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-02 00:00:01,8.00511917832168, -1.1,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-02 04:00:01,8.00582545895645,-1.09,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-02 08:00:01,8.01325184114595, -1.1,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-02 12:00:01,8.00159934703099, -1.1,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-02 16:00:01,8.00341483895988, -1.1,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-02 20:00:01,8.00565873623423,-1.09,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-03 00:00:01,8.00782389078715, -1.1,-77.63422,166.41467,         28,          18
